[23:29:17] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:29:18] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:29:18] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:29:18] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:29:18] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:29:18] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:29:18] [main/INFO]: Reloading ResourceManager: Default
[23:29:19] [Worker-Main-2/INFO]: Loaded 7 recipes
[23:29:20] [Worker-Main-2/INFO]: Loaded 927 advancements
[23:29:22] [Server thread/INFO]: Starting minecraft server version 1.16.5
[23:29:22] [Server thread/INFO]: Loading properties
[23:29:22] [Server thread/INFO]: Default game type: SURVIVAL
[23:29:22] [Server thread/INFO]: Generating keypair
[23:29:23] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:29:23] [Server thread/INFO]: Using epoll channel type
[23:29:23] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:29:23] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:29:23] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:29:23] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:29:23] [Server thread/INFO]: Preparing level "world"
[23:29:30] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:29:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:29:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:29:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:29:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:29:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:29:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:29:33] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[23:29:34] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[23:29:34] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[23:29:35] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[23:29:35] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[23:29:36] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[23:29:36] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[23:29:37] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[23:29:37] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[23:29:38] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[23:29:38] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[23:29:39] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[23:29:39] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[23:29:40] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[23:29:40] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[23:29:41] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[23:29:41] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[23:29:42] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[23:29:42] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[23:29:43] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[23:29:43] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[23:29:44] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[23:29:44] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[23:29:45] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[23:29:45] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[23:29:46] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[23:29:46] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[23:29:47] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[23:29:47] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[23:29:48] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[23:29:48] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[23:29:49] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[23:29:49] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[23:29:50] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[23:29:50] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[23:29:51] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[23:29:51] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[23:29:52] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[23:29:52] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[23:29:53] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[23:29:53] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[23:29:54] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[23:29:54] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[23:29:55] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[23:29:55] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[23:29:56] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[23:29:56] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[23:29:57] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[23:29:57] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[23:29:58] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[23:29:58] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[23:29:59] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[23:29:59] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[23:30:00] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[23:30:00] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[23:30:01] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[23:30:01] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[23:30:02] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[23:30:02] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[23:30:03] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[23:30:03] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[23:30:04] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[23:30:04] [Worker-Main-2/INFO]: Preparing spawn area: 95%
[23:30:05] [Worker-Main-2/INFO]: Preparing spawn area: 97%
[23:30:05] [Server thread/INFO]: Time elapsed: 34958 ms
[23:30:05] [Server thread/INFO]: Done (42.161s)! For help, type "help"
